query_id	doc_id	grade
Q0	1310.5107	2
Q0	1306.0239	1
Q0	1209.504	2
Q0	1208.3687	2
Q0	1008.0785	1
Q0	1101.009	0
Q0	809.0444	0
Q0	1306.6802	1
Q0	1206.6476	1
Q0	1312.6945	0
Q1	1101.4351	0
Q1	1012.1813	1
Q1	1207.6692	1
Q1	1401.1333	2
Q1	904.2189	1
Q1	1307.3134	2
Q1	1303.0818	2
Q1	1309.079	2
Q1	1103.2854	1
Q1	1201.3307	0
Q2	1307.6235	0
Q2	811.2301	0
Q2	1306.2838	1
Q2	1111.397	0
Q2	1002.1251	0
Q2	1202.4883	0
Q2	1311.5427	1
Q2	1306.076	0
Q2	1105.4318	2
Q2	1211.0418	0
Q3	1104.1546	1
Q3	1105.1749	2
Q3	1106.08	2
Q3	1009.5773	2
Q3	1208.4484	0
Q3	910.0832	0
Q3	1307.717	1
Q3	1112.1133	2
Q3	1010.0886	1
Q3	1102.0603	1
Q4	1101.3291	2
Q4	1101.4351	0
Q4	1312.5419	1
Q4	1401.1333	1
Q4	1107.5114	1
Q4	802.1412	0
Q4	1312.399	0
Q4	1306.6802	0
Q4	1101.009	0
Q4	1402.0215	0
Q5	1103.6258	0
Q5	1312.5851	2
Q5	1303.5613	0
Q5	1108.3516	0
Q5	910.2104	0
Q5	1212.4654	0
Q5	1011.5535	0
Q5	1307.3782	2
Q5	1112.0922	0
Q5	910.4624	0
